id,flood_id,country,event_location,event_dates,language_detected,url,page_title,text_snippet,pipeline_prediction,flood_term_hits,impact_term_hits,location_term_hits,word_count,label,notes
11,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.chiapasparalelo.com/noticias/chiapas/2018/11/el-dique-del-exodo/,El dique del éxodo | Chiapasparalelo,"El dique del éxodo Las caravanas del éxodo migrante se acumulan en Baja California; actualmente las estimaciones hablan de unos 9 mil centroamericanos que buscan refugio, varados en aquel estado. Mientras, su vida cotidiana transcurre en este limbo transitorio #AlianzadeMedios | Por Javier Bauluz de Pie de Página TIJUANA, BAJA CALIFORNIA.- Las caravanas migrantes se acumulan. Esta ciudad se convierte cada día en el freno de un éxodo que no para. Un lugar donde se multiplica la espera y la escasez. Este jueves, los expertos de la Organización de las Naciones Unidas (ONU) insistieron en que los …",pipeline_no,1,1,1,265,0,
12,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.alcalorpolitico.com/informacion/columnas.php?idcolumna=17412&c=10,Sorprende Cinthya en su primer mensaje - Apuntes - Al Calor Político,"“Si se viviera en la Santa Inquisición, quemaría a los morenistas en el Zócalo” Martín Moreno Sorprende Cinthya en su primer mensaje Claro que lo que requiere Veracruz es lo que sugiere la Presidenta del Comité Directivo Estatal del Partido “Unidad Ciudadana”, Cinthya Lobato Calderón, un nuevo pacto social para juntos forjar un nuevo rumbo para Veracruz. A través de la red social de Facebook, y en lo que fue su primer mensaje político como dirigente del nuevo partido político que con mucho esfuerzo fundó, Lobato Calderón resaltó que “sólo a través de una gran alianza es como lograremos un esta…",pipeline_yes,2,2,2,1691,0,
13,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.chiapasparalelo.com/opinion/2018/11/el-desplazamiento-forzado-de-poblacion-centroamericana-y-la-politica-migratoria-un-reto-para-el-nuevo-gobierno-mexicano/,El desplazamiento forzado de población centroamericana y la política migratoria: un reto para el nuevo gobierno mexicano | Chiapasparalelo,"El desplazamiento forzado de población centroamericana y la política migratoria: un reto para el nuevo gobierno mexicano Por Flor María Pérez Robledo (1) Históricamente Centroamérica se integró al circuito de la migración internacional a partir de los años noventa del Siglo XX. Una serie de factores se conjuntaron para hacer posible esta situación. El Salvador y Guatemala vivieron procesos prolongados de guerra que aunque culminaron con la firma de la paz, en 1992 y 1996, respectivamente, dejaron tras de sí un panorama de fragilidad institucional. Para el caso de Honduras, hay que destacar ade…",pipeline_yes,3,1,2,1434,0,
14,268,United States of America,"Dickson, Humphrey, and Hickman Counties (Tennessee)",2021-08-21 → 2021-08-22,eng,https://www.kuow.org/business,KUOW - Business Sponsorship,"2021 Media Kit Media Kit Updated February, 2021 KUOW reaches over 416,000 listeners in Western Washington each week.* Messaging on KUOW promotes awareness with this region's most desirable audience — affluent, educated and discerning consumers, business owners and community leaders. You're in good company as a KUOW business supporter. COVERAGE KUOW's powerful 100,000 watt signal broadcasting at 94.9 FM originates from our transmitter on Seattle's Capitol Hill and reaches east to the Cascade Mountains, west to the Olympics, south into Pierce and Thurston counties and north into Snohomish, Skagi…",pipeline_no,1,0,3,164,0,
15,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.chiapasparalelo.com/noticias/chiapas/2020/11/medidas-de-auxilio-no-priorizan-indigenas-y-comunidades-rurales/,Medidas de auxilio no priorizan indígenas y comunidades rurales | Chiapasparalelo,"Medidas de auxilio no priorizan indígenas y comunidades rurales *ARTICLE 19 mencionó que, frente a la emergencia humanitaria por el Frente Frio No. 11 y la Depresión Tropical “Eta” existe poca información sobre la magnitud de las afectaciones en Chiapas y Tabasco, como las acciones de auxilio, reconstrucción, habilitación y prevención de riesgos que tomarán las autoridades de los tres niveles de gobierno. La Depresión Tropical “Eta” y el Frente Frío No. 11 generaron el pasado 01 de noviembre de 2020, afectaciones en diversos municipios de Chiapas y Tabasco, que van desde daños a viviendas e in…",pipeline_yes,4,11,3,796,1,
16,252,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",2016-04-12 → 2016-05-11,spa,http://www.lr21.com.uy/justicia/157787-celarrayan-el-ladron-que-filmo-en-vivo-su-propia-pelicula-rififi,"Celarrayán, el ladrón que filmó en vivo su propia película ""Rififí"" - Noticias Uruguay LARED21","Fue justamente en ese 1955, año de marcado dolor también para los uruguayos por una tremenda epidemia de poliomielitis que llenó de angustia a todos y de la tragedia del Puente de San Ramón, cuando el ómnibus 218 de ONDA, cayó a las aguas, quedando 25 de los 41 pasajeros atrapados allí hasta la muerte, fue justamente en ese año, decíamos, que una banda comandada por Marcos Celarrayán Amaya, alias “El Ciruja”, a quien acompañaban Carlos Luján Sacchi, alias “La Virgencita” y otros “socios” del delito, realizó un espectacular robo al estilo “Rififí” en la sucursal Aguada del Banco Francés e Itali…",pipeline_yes,2,1,2,1215,0,
17,252,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",2016-04-12 → 2016-05-11,spa,http://www.montevideo.com.uy/enciclopedia/ganaderi.htm,www.montevideo.com.uy / ¡El mejor lugar para empezar en Internet!,"| ECONOMIA | Ganadería IMPORTANCIA ECONOMICA DE LA GANADERIA En Uruguay la ganadería se caracteriza por un sistema de cría conjunta de vacunos y lanares sobre los mismos campos, la del vacuno para la producción de carnes, con el cuero como principal subproducto, y la del ovino para la de lanas. La importancia ganadera en la economía nacional se puede apreciar en los siguiente hechos. 1- Ocupa el mayor porcentaje de la superficie del país 2- Abastece la totalidad del consumo nacional, siendo este el más elevado del mundo. 3- Abastece de materia prima a muchas de las principales industrias del p…",pipeline_boundary,3,0,11,518,0,
18,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.tabascohoy.com/aterrizan-aeronaves-de-la-sedena-en-tabasco/,Aterrizan aeronaves de la SEDENA en Tabasco - Tabasco HOY,"TABASCO.- Esta noche aterrizaron aeronaves de la Secretaría de la Defensa Nacional (Sedena) en el Aeropuerto Internacional del Estado de Tabasco. Lo anterior, con el fin de eficientar las acciones que realiza el personal militar en la aplicación del Plan DN-III-E en su fase de auxilio en la entidad tabasqueña debido a las recientes inundaciones ocasionadas por el Frente Frío No. 11. Se trata de una aeronave tipo C-130 “Hércules” y una aeronave tipo C-27J “Spartan” pertenecientes a la Fuerza Aérea Mexicana, transportando los siguientes equipos: 2 bombas para extracción de agua de la CONAGUA, co…",pipeline_yes,2,1,1,148,0,
19,229,United States of America,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",2015-12-15 → 2016-01-06,eng,http://www.latimes.com/all-denaplesprobe030208-story.html,Flood trucks lead to DeNaples probe - LA Times,"Trucker Richard Rothstein thought he'd found a bargain. Rothstein bought a Freightliner Columbia tractor in December 2005 for $75,000 from DeNaples Auto Sales in Dunmore, Lackawanna County. The truck, which typically sold for $125,000 or more, had come from New Orleans, where it was parked when Hurricane Katrina devastated the city in August 2005. It was one of 30 bought with a check signed by Louis DeNaples, the controversial owner of Mount Airy Casino Resort Rothstein says he was told by Dunmore Repair, which handled the sale for DeNaples Auto Sales, that floodwaters reached only halfway up …",pipeline_yes,4,3,5,1571,0,
20,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.tabascohoy.com/cierran-la-ciudad/,Cierran la ciudad - Tabasco HOY,"A partir de hoy las avenidas Usumacinta, Paseo Tabasco, Ruiz Cortines, Periférico, Méndez y 27 de Febrero quedarán parcialmente cerradas a la circulación, como una medida para disminuir la movilidad de personas. De acuerdo con el Secretario de Seguridad y Protección Ciudadana, Hernán Bermúdez Requena, este operativo empezará el día de hoy y se tendrá habilitado solamente un carril de cada avenida. En entrevista para Grupo Cantón el titular de la dependencia expresó que este operativo se hará con apoyo de los elementos de la policía estatal además de agentes de tránsito. HABRÁ SANCIONES Bermúde…",pipeline_boundary,2,0,1,140,0,
21,252,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",2016-04-12 → 2016-05-11,spa,http://www.subrayado.com.uy/Site/noticia/29345/cortes-de-transito-hoy-y-manana-en-el-centro-y-ciudad-vieja,Cortes de tránsito hoy y mañana en el Centro y Ciudad Vieja - Subrayado,"17 DIC 2013 - 11:06 | Es por el aniversario de la Policía Nacional. Está prohibido estacionar desde las 12 y a partr de las 17 no se puede circular. Este martes y miércoles habrá cortes de tránsito que afectarán la circulación en el Centro de Montevideo y la Ciudad Vieja. Los cortes responden a los festejos por el 184° Aniversario de la Policía Nacional. El corte de hoy afectará el tránsito de las calles Convención y Wilson Ferreira Aldunate, específicamente el tramo comprendido entre las calles 18 de Julio y San José. Desde la hora 12.00 estará prohibido estacionar y desde las 17.00 no se pod…",pipeline_boundary,2,0,3,349,0,
22,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.alcalorpolitico.com/informacion/derrumbes-afectan-cultivos-de-unos-4-mil-campesinos-de-ixtaczoquitlan-326076.html,Derrumbes afectan cultivos de unos 4 mil campesinos de Ixtaczoquitlán - Al Calor Político,"Alrededor de 4 mil campesinos de la zona baja de Ixtaczoquitlán han tenido afectaciones por los derrumbes e inundaciones que se han generado en los últimos días a consecuencia de las lluvias, indicó Gabriel Zepeda Trujillo, representante del Comité Campesino de Orizaba. Explicó que hay zonas de cultivos que han sido dañadas por el lodo y las aguas pero además de esta zona, también se han reportado afectaciones en siembras de la parte alta del volcán, así como en Atzacan, Ixhuatlancillo y Mariano Escobedo. Aclaró que los problemas se presentan también por las carreteras en las que no pueden cir…",pipeline_boundary,2,0,1,210,1,
23,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.elsoldesinaloa.com.mx/gossip/caricaturas-villanos-y-monte-macabro-celebran-sus-origenes-latinos-entretenimiento-dibusjos-animados-5910714.html,Caricaturas Villanos y Monte macabro celebran sus orígenes latinos - El Sol de Sinaloa,"Con la creciente cantidad de migrantes latinos a Estados Unidos, los estudios televisivos han enfocado sus esfuerzos en difundir su cultura a través de producciones que incluyen actores y personajes extranjeros, con la finalidad de mostrarlos como parte de la sociedad norteamericana. Diego Molano, creador de la caricatura bilingüe Víctor y Valentino, destacó la importancia de abrir el abanico de contenidos con tintes hispanos, ya que estamos viviendo tiempos de mucha diversidad y la aceptación se debe inculcar desde la infancia. “Los latinos somos las personas más diversas del planeta, no creo…",pipeline_no,1,0,1,415,0,
24,252,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",2016-04-12 → 2016-05-11,spa,http://www.lr21.com.uy/mundo/102543-el-ano-2002-en-el-mundo,El año 2002 en el mundo - Noticias Uruguay LARED21,"ENERO 1 – Introducción del euro en 12 países europeos. -El peronista Eduardo Duhalde es elegido presidente de la república en una Argentina hundida en una crisis económica y financiera sin precedentes. El día 6 se aprueba la ley que pone fin a 10 años de paridad fija peso-dólar. El peso flota frente al dólar a partir del 11 de febrero. 2 – Primer despliegue de la fuerza multinacional de paz en Afganistán. 9 – El gobierno norteamericano abre una investigación sobre la quiebra del grupo corredor de energía Enron, la mayor quiebra de la historia de Estados Unidos. 10 – Los primeros prisioneros de…",pipeline_yes,2,5,1,2188,0,
25,253,Costa Rica,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",2015-06-27 → 2015-07-09,spa,http://www.gaceta.go.cr/pub/2010/04/08/COMP_08_04_2010.html,LA GACETA Nº 67 del 8 de abirl del 2010,"EL PRESIDENTE DE Y EL MINISTRO DE AMBIENTE, ENERGÍA Y TELECOMUNICACIONES En el ejercicio de las facultades que les confieren los artículos 140 incisos 3) y 18) y 146 de Considerando: I.—Que entre las metas del Plan Nacional de Desarrollo 2006-2010, Jorge Manuel Dengo Obregón, se encuentra reducir la dependencia de combustibles importados, aprovechar mejor las fuentes de energía renovable del país y llegar a producir el 100% de la electricidad del país a partir de fuentes de energía renovables. Adicionalmente el acuerdo Nº 24 del 7 de diciembre del 2006, declaró de interés público II.—Que de ac…",pipeline_yes,8,3,9,60590,0,
26,255,United States of America,"Fayette, Grimes, Harris, Parker counties, Houston districts (Texas province)",2016-04-16 → 2016-04-19,eng,http://www.kktv.com/home/headlines/3820781.html,Hurricane John Update,"What's left of Hurricane John is dumping lots of rain in the Southwest. The storm left up to 20 inches of rain in parts of Mexico's Baja Peninsula before leaving a soggy trail across southern Arizona, New Mexico and western Texas. In Ciudad Juarez, Mexico -- across the border from El Paso -- rain flooded at least 20 neighborhoods, knocked down electricity poles and caused several traffic accidents. Flooding forced hundreds of people to be evacuated.",pipeline_yes,2,1,1,76,1,
27,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.tabascohoy.com/como-esta-el-nivel-de-los-rios-de-tabasco/,¿Cómo está el nivel de los ríos de Tabasco? - Tabasco HOY,"TABASCO. Las precipitaciones por el Frente Frío 9 han provocado importantes anegaciones en la entidad. En algunos casos, no se necesitó el desbordamiento de ríos o lagunas, ya que las lluvias acumularon hasta 354 milímetros en las últimas horas. Por ello, los ciudadanos temen que, de continuar las lluvias, puedan desbordarse afluentes, lo que causaría todavía más daños en sus bienes materiales. El Instituto de Protección Civil del Estado de Tabasco (IPCET), en su reporte de este viernes 30 de octubre hasta las 06:00 horas, los niveles de los ríos de la entidad. ¿Cómo está el nivel de los ríos …",pipeline_yes,3,1,1,188,1,
28,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.informador.mx/Cultura/Logran-reproducir-antigua-ceramica-yumana-del-ano-mil-d.C.-20091121-0085.html,Logran reproducir antigua cerámica yumana del año mil d.C. | El Informador,"CIUDAD DE MÉXICO.- A partir de un estudio de arqueología experimental a cargo del arqueólogo Antonio Porcayo Michelini, investigador del Centro INAH Baja California, se ha logrado reproducir la técnica yumana usada desde tiempos prehispánicos, para la elaboración de vasijas. Los antiguos grupos yumanos del delta del río Colorado, en el Valle de Mexicali, Baja California, crearon hace mil años una cerámica funcional y estilizada para el resguardo y la cocción de distintos alimentos; esta alfarería persistió por siglos, pero desapareció a principios del XX. Ahora, especialistas del Instituto Nac…",pipeline_no,2,1,1,728,0,
29,252,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",2016-04-12 → 2016-05-11,spa,http://www.elobservador.com.uy/udelar-ratifico-que-el-santa-lucia-esta-contaminado-n251329,Udelar ratificó que el Santa Lucía está contaminado,"Un estudio realizado por la Universidad de la República confirmó que el rio Santa Lucía tiene altas concentraciones de fósforos en su agua lo que esta causando un fuerte olor ambiente además de arrastrar sutancias que son riesgosas para la salud humana. ""Se estima que el 80% de la contaminación con nutrientes (eutrofización) y de demanda biológica de oxígeno se debe a fuentes difusas; estas son las provenientes de actividades agropecuarias, entre las que se destaca la de explotaciones lecheras (tambos). El restante 20% proviene de fuentes puntuales, constiuiidas por los efluentes de industrias…",pipeline_boundary,3,0,1,428,0,
30,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.tabascohoy.com/baja-riesgo-en-centro-aumenta-en-centla/,Baja riesgo en Centro; aumenta en Centla - Tabasco HOY,"A pesar de que las precipitaciones no han sido tan severas para Tabasco en los últimos días, la situación aún es crítica en Centla y Jonuta; mientras que, en Centro y Macuspana, con excepción de El Castaño, la situación va mejorando, precisó el gobernador, Adán Augusto López Hernández. El mandatario estatal, señaló que las lluvias torrenciales de antier, sobre todo en La Sierra de la parte norte de Chiapas, afectaron a comunidades de Tacotalpa, Teapa, Jalapa; Aztapa donde ya había bajado el agua, la gente estaba regresando a su casa y volvió a sufrir de inundaciones. No obstante, dijo afortuna…",pipeline_boundary,2,0,2,136,1,
31,253,Costa Rica,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",2015-06-27 → 2015-07-09,spa,http://www.gaceta.go.cr/pub/2011/07/01/COMP_01_07_2011.html,LA GACETA Nº 127 DEL 1º DE JULIO DEL 2011,"REFORMA DEL ARTÍCULO 49 DEL CÓDIGO MUNICIPAL, N.º 7794, Y SUS REFORMAS, PARA CREAR DE CIENCIA, TECNOLOGÍA E INNOVACIÓN Asamblea Legislativa: Por este medio presento a consideración de los señores diputados y las señoras diputadas el proyecto de ley Reforma del artículo 49 del Código Municipal, N.º 7794, y sus reformas, para crear En virtud de lo anterior se transcribe, literalmente, lo que el artículo 49 del Código Municipal dice: “ARTÍCULO 49.-En la sesión del Concejo, posterior inmediata a la instalación de sus miembros, el Presidente nombrará a los integrantes de las Comisiones Permanentes,…",pipeline_yes,7,4,9,37018,0,
32,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.tabascohoy.com/aguanta-embestidas-la-ciudad/,Enfrenta Tabasco pesadilla - Tabasco HOY,"Ante el aumento de los ríos serranos que alimentan al río Grijalva, así como lagunas cercanas y adyacentes, el gobierno del Estado decidió colocar costales de arena como barreras de protección a Villahermosa en el afluente y en otros puntos como el malecón de Gaviotas y en la Laguna “El Negro”. Al respecto, el gobernador Adán Augusto López Hernández, aclaró que a pesar de que se encuentran a su máxima capacidad, los ríos Grijalva y Carrizal no representan riesgo en este momento para la población de la capital tabasqueña. Así mismo, pidió a la población estar alerta al transitar Tabasco por hor…",pipeline_boundary,3,0,1,474,1,
